
iter,llc_rd,llc_wr,mem_rd,mem_wr,decision,token
0,19,0,0,0,-,326000
1,51,0,4,0,H,-36480
2,48,0,3,0,-,-362840
3,0,0,0,0,-,-190840
4,0,0,0,0,-,-18840
5,0,0,0,0,R,153160
6,44,0,1,0,H,-120960
7,9,0,1,0,-,-45080
8,0,0,0,0,R,126920
9,34,0,2,0,H,-53320
10,2,0,0,0,R,98680
11,43,0,3,0,H,-177680
12,5,0,1,0,-,-61800
13,0,0,0,0,R,110200
14,41,0,5,0,H,-158400
15,7,0,1,0,-,-62520
16,0,0,0,0,R,109480
17,40,1,5,0,H,-149120
18,7,0,1,0,-,-53240
19,0,0,0,0,R,118760
20,40,2,5,0,H,-139840
21,6,0,0,0,-,-27840
22,0,0,0,0,R,144160
23,41,1,5,0,H,-124440
24,7,0,0,0,-,-22440
25,0,0,0,0,R,149560
26,39,3,5,0,H,-99040
27,5,0,1,0,R,16840
28,38,3,5,0,H,-221760
29,6,1,1,0,-,-115880
30,0,0,0,0,R,56120
31,40,1,5,0,H,-202480
32,5,1,1,0,-,-86600
33,0,0,0,0,R,85400
34,40,1,5,0,H,-173200
35,6,0,1,0,-,-67320
36,0,0,0,0,R,104680
37,40,2,5,0,H,-153920
38,6,0,0,0,-,-41920
39,0,0,0,0,R,130080
40,39,3,5,0,H,-118520
41,6,0,0,0,-,-6520
42,0,0,0,0,R,165480
43,37,3,5,0,H,-63120
44,6,0,0,0,R,48880
45,39,4,5,0,H,-199720
46,7,1,1,0,-,-103840
47,0,0,0,0,R,68160
48,39,3,5,0,H,-180440
49,8,0,1,0,-,-94560
50,0,0,0,0,R,77440
51,39,3,5,0,H,-171160
52,6,0,1,0,-,-65280
53,0,0,0,0,R,106720
54,40,2,5,0,H,-151880
55,6,0,0,0,-,-39880
56,0,0,0,0,R,132120
57,39,3,5,0,H,-116480
58,6,0,1,0,-,-10600
59,0,0,0,0,R,161400
60,37,3,5,0,H,-67200
61,7,0,1,0,R,28680
62,34,12,4,0,H,-163800
63,6,2,1,0,-,-57920
64,0,0,0,0,R,114080
65,32,14,6,0,H,-70640
66,6,2,0,0,R,41360
67,37,7,5,0,H,-187240
68,4,2,1,0,-,-61360
69,0,0,0,0,R,110640
70,35,11,4,0,H,-91840
71,8,0,1,0,-,-5960
72,0,0,0,0,R,166040
73,36,9,4,0,H,-46440
74,5,1,0,0,R,75560
75,32,11,5,0,H,-103040
76,7,3,1,0,-,-7160
77,0,0,0,0,R,164840
78,34,12,4,0,H,-27640
79,6,3,1,0,R,78240
80,32,15,4,0,H,-94240
81,7,3,0,0,R,7760
82,30,18,4,0,H,-144720
83,5,1,2,0,-,-34960
84,0,0,0,0,R,137040
85,32,15,4,0,H,-35440
86,6,1,1,0,R,70440
87,34,11,6,0,H,-134280
88,6,5,1,0,-,-28400
89,0,0,0,0,R,143600
90,32,15,4,0,H,-28880
91,7,4,0,0,R,73120
92,28,18,4,0,H,-59360
93,6,1,1,0,R,46520
94,31,18,4,0,H,-115960
95,8,2,0,0,-,-23960
96,0,0,0,0,R,148040
97,33,14,4,0,H,-34440
98,6,2,0,0,R,77560
99,32,15,4,0,H,-94920
100,6,1,1,0,R,10960
101,32,16,4,0,H,-161520
102,6,3,1,0,-,-55640
103,0,0,0,0,R,116360
104,31,15,7,0,H,-64480
105,6,4,0,0,R,47520
106,29,17,8,0,H,-119440
107,7,4,1,0,-,-23560
108,0,0,0,0,R,148440
109,28,16,7,0,H,-2400
110,8,5,1,0,R,83480
111,32,13,8,0,H,-113480
112,5,3,0,0,R,8520
113,28,18,9,0,H,-154560
114,6,4,1,0,-,-48680
115,0,0,0,0,R,123320
116,28,19,7,0,H,-27520
117,5,2,2,0,R,82240
118,30,16,7,0,H,-88600
119,6,3,0,0,R,23400
120,30,15,8,0,H,-153560
121,5,2,2,0,-,-43800
122,0,0,0,0,R,128200
123,30,17,7,0,H,-42640
124,9,3,0,0,R,39360
125,29,13,8,0,H,-127600
126,7,3,2,0,-,-37840
127,0,0,0,0,R,134160
128,31,13,8,0,H,-52800
129,7,5,1,0,R,43080
130,31,14,7,0,H,-137760
131,4,3,1,0,-,-11880
132,0,0,0,0,R,160120
133,30,15,8,0,H,-16840
134,6,2,1,0,R,89040
135,31,15,7,0,H,-91800
136,4,2,1,0,R,34080
137,30,16,8,0,H,-142880
138,6,4,0,0,-,-30880
139,0,0,0,0,R,141120
140,30,16,8,0,H,-35840
141,6,3,1,0,R,70040
142,29,15,7,0,H,-90800
143,9,3,2,0,-,-21040
144,0,0,0,0,R,150960
145,31,15,8,0,H,-36000
146,5,3,0,0,R,86000
147,32,12,8,0,H,-110960
148,7,3,2,0,-,-21200
149,0,0,0,0,R,150800
150,31,13,8,0,H,-36160
151,5,3,2,0,R,73600
152,32,12,8,0,H,-123360
153,6,2,1,0,-,-17480
154,0,0,0,0,R,154520
155,29,17,7,0,H,-6320
156,4,2,2,0,R,113440
157,29,19,6,0,H,-41280
158,6,4,1,0,R,64600
159,29,15,7,0,H,-96240
160,4,2,0,0,R,35760
161,29,17,8,0,H,-131200
162,8,2,1,0,-,-45320
163,0,0,0,0,R,126680
164,33,10,9,0,H,-86400
165,8,1,1,0,-,-520
166,0,0,0,0,R,171480
167,31,15,7,0,H,-9360
168,7,3,2,0,R,80400
169,30,15,8,0,H,-96560
170,5,2,1,0,R,19320
171,30,16,7,0,H,-151520
172,6,2,2,0,-,-51760
173,0,0,0,0,R,120240
174,29,18,8,0,H,-46720
175,5,4,0,0,R,75280
176,30,15,8,0,H,-101680
177,6,2,1,0,R,4200
178,31,12,7,0,H,-176640
179,4,1,2,0,-,-56880
180,0,0,0,0,R,115120
181,32,12,8,0,H,-81840
182,7,3,1,0,R,14040
183,29,17,7,0,H,-146800
184,4,2,2,0,-,-27040
185,0,0,0,0,R,144960
186,30,16,7,0,H,-25880
187,7,5,0,0,R,76120
188,29,17,8,0,H,-90840
189,4,2,1,0,R,35040
190,29,18,7,0,H,-125800
191,7,3,2,0,-,-36040
192,0,0,0,0,R,135960
193,29,17,8,0,H,-31000
194,6,2,0,0,R,81000
195,28,16,8,0,H,-75960
